symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2016-01-05 00:00:00+00:00,102.71,105.85,102.41,105.75,55790992,23.7864632244,24.5136513709,23.7169866499,24.4904925127,223163968,0.0,1.0
AAPL,2016-01-06 00:00:00+00:00,100.7,102.37,99.87,100.56,68457388,23.3209701752,23.7077231066,23.1287516524,23.2885477738,273829552,0.0,1.0
AAPL,2016-01-07 00:00:00+00:00,96.45,100.13,96.43,98.68,81094428,22.3367187031,23.1889646837,22.3320869314,22.8531612402,324377712,0.0,1.0
AAPL,2016-01-08 00:00:00+00:00,96.96,99.11,96.76,98.55,70798016,22.4548288797,22.9527443303,22.4085111634,22.8230547246,283192064,0.0,1.0
AAPL,2016-01-11 00:00:00+00:00,98.53,99.06,97.34,98.97,49739377,22.818422953,22.9411649013,22.5428325408,22.9203219289,198957508,0.0,1.0
AAPL,2016-01-12 00:00:00+00:00,99.96,100.69,98.8399,100.55,49154227,23.1495946248,23.3186542894,22.8901922544,23.286231888,196616908,0.0,1.0
AAPL,2016-01-13 00:00:00+00:00,97.39,101.19,97.3,100.32,62439631,22.5544119698,23.4344485802,22.5335689975,23.2329665142,249758524,0.0,1.0
AAPL,2016-01-14 00:00:00+00:00,99.52,100.48,95.74,97.96,63170127,23.0476956488,23.2700206872,22.1722908101,22.6864174614,252680508,0.0,1.0
AAPL,2016-01-15 00:00:00+00:00,97.13,97.71,95.36,96.2,79833891,22.4941989386,22.628520316,22.084287149,22.2788215576,319335564,0.0,1.0
AAPL,2016-01-19 00:00:00+00:00,96.66,98.65,95.5,98.41,53087747,22.3853523052,22.8462135828,22.1167095505,22.7906323232,212350988,0.0,1.0
AAPL,2016-01-20 00:00:00+00:00,96.79,98.1897,93.42,95.1,72334416,22.4154588208,22.7396133586,21.6350053006,22.0240741178,289337664,0.0,1.0
AAPL,2016-01-21 00:00:00+00:00,96.3,97.88,94.94,97.06,52161463,22.3019804158,22.6678903749,21.9870199447,22.4779877379,208645852,0.0,1.0
AAPL,2016-01-22 00:00:00+00:00,101.42,101.46,98.37,98.63,65800467,23.487713954,23.4969774973,22.7813687799,22.8415818111,263201868,0.0,1.0
AAPL,2016-01-25 00:00:00+00:00,99.44,101.53,99.21,101.52,51794525,23.0291685623,23.513188698,22.9759031885,23.5108728122,207178100,0.0,1.0
AAPL,2016-01-26 00:00:00+00:00,99.99,100.88,98.07,99.93,75077002,23.1565422822,23.3626561199,22.7118922054,23.1426469673,300308008,0.0,1.0
AAPL,2016-01-27 00:00:00+00:00,93.42,96.6289,93.34,96.04,133369674,21.6350053006,22.3781499003,21.616478214,22.2417673846,533478696,0.0,1.0
AAPL,2016-01-28 00:00:00+00:00,94.09,94.52,92.39,93.79,55678825,21.7901696503,21.8897527404,21.3964690614,21.7206930758,222715300,0.0,1.0
AAPL,2016-01-29 00:00:00+00:00,97.34,97.34,94.35,94.79,64416504,22.5428325408,22.5428325408,21.8503826815,21.9522816575,257666016,0.0,1.0
AAPL,2016-02-01 00:00:00+00:00,96.43,96.71,95.4,96.47,40943541,22.3320869314,22.3969317343,22.0935506923,22.3413504747,163774164,0.0,1.0
AAPL,2016-02-02 00:00:00+00:00,94.48,96.04,94.28,95.42,37357215,21.8804891972,22.2417673846,21.8341714808,22.0981824639,149428860,0.0,1.0
AAPL,2016-02-03 00:00:00+00:00,96.35,96.84,94.08,95.0,45964294,22.3135598449,22.4270382499,21.7878537645,22.0009152596,183857176,0.0,1.0
AAPL,2016-02-04 00:00:00+00:00,96.6,97.33,95.19,95.86,46471652,22.4918830528,22.6618527694,22.1635853809,22.3195849839,185886608,0.52,1.0
AAPL,2016-02-05 00:00:00+00:00,94.02,96.92,93.69,96.52,46418064,21.8911681638,22.5663903258,21.8143325385,22.4732562345,185672256,0.0,1.0
AAPL,2016-02-08 00:00:00+00:00,95.01,95.7,93.04,93.13,54021375,22.1216750398,22.2823313473,21.6629896401,21.6839448106,216085500,0.0,1.0
AAPL,2016-02-09 00:00:00+00:00,94.99,95.94,93.93,94.29,44331195,22.1170183352,22.3382118021,21.8702129933,21.9540336754,177324780,0.0,1.0
AAPL,2016-02-10 00:00:00+00:00,94.27,96.35,94.1,95.92,42343601,21.9493769709,22.4336742457,21.9097949821,22.3335550976,169374404,0.0,1.0
AAPL,2016-02-11 00:00:00+00:00,93.7,94.72,92.59,93.79,50074711,21.8166608908,22.0541528236,21.5582137874,21.8376160613,200298844,0.0,1.0
AAPL,2016-02-12 00:00:00+00:00,93.99,94.5,93.01,94.19,40351381,21.884183107,22.0029290734,21.6560045832,21.9307501526,161405524,0.0,1.0
AAPL,2016-02-16 00:00:00+00:00,96.64,96.85,94.61,95.02,49057916,22.5011964619,22.5500918599,22.0285409485,22.1240033921,196231664,0.0,1.0
AAPL,2016-02-17 00:00:00+00:00,98.12,98.21,96.15,96.67,44863243,22.8457925998,22.8667477703,22.3871072001,22.5081815188,179452972,0.0,1.0
