symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
TSLA,2016-01-05 00:00:00+00:00,223.43,226.89,220.0,226.36,3186752,44.686,45.378,44.0,45.272,15933760,0.0,1.0
TSLA,2016-01-06 00:00:00+00:00,219.04,220.05,215.98,220.0,3779128,43.808,44.01,43.196,44.0,18895640,0.0,1.0
TSLA,2016-01-07 00:00:00+00:00,215.65,218.44,213.67,214.19,3554251,43.13,43.688,42.734,42.838,17771255,0.0,1.0
TSLA,2016-01-08 00:00:00+00:00,211.0,220.44,210.77,217.86,3628058,42.2,44.088,42.154,43.572,18140290,0.0,1.0
TSLA,2016-01-11 00:00:00+00:00,207.85,214.45,203.0,214.01,4091422,41.57,42.89,40.6,42.802,20457110,0.0,1.0
TSLA,2016-01-12 00:00:00+00:00,209.97,213.7395,205.31,211.6,3091917,41.994,42.7479,41.062,42.32,15459585,0.0,1.0
TSLA,2016-01-13 00:00:00+00:00,200.31,212.65,200.0,212.01,4126416,40.062,42.53,40.0,42.402,20632080,0.0,1.0
TSLA,2016-01-14 00:00:00+00:00,206.18,210.0,193.38,202.21,6490741,41.236,42.0,38.676,40.442,32453705,0.0,1.0
TSLA,2016-01-15 00:00:00+00:00,204.99,205.07,197.25,198.97,5578640,40.998,41.014,39.45,39.794,27893200,0.0,1.0
TSLA,2016-01-19 00:00:00+00:00,204.72,210.47,200.78,208.71,4038676,40.944,42.094,40.156,41.742,20193380,0.0,1.0
TSLA,2016-01-20 00:00:00+00:00,198.7,201.28,191.25,199.4,5838608,39.74,40.256,38.25,39.88,29193040,0.0,1.0
TSLA,2016-01-21 00:00:00+00:00,199.97,203.23,195.02,201.55,3166159,39.994,40.646,39.004,40.31,15830795,0.0,1.0
TSLA,2016-01-22 00:00:00+00:00,202.55,205.5,199.03,204.8005,3124055,40.51,41.1,39.806,40.9601,15620275,0.0,1.0
TSLA,2016-01-25 00:00:00+00:00,196.38,203.57,195.88,200.06,2698739,39.276,40.714,39.176,40.012,13493695,0.0,1.0
TSLA,2016-01-26 00:00:00+00:00,193.56,197.82,188.88,196.7,4964180,38.712,39.564,37.776,39.34,24820900,0.0,1.0
TSLA,2016-01-27 00:00:00+00:00,188.07,193.26,185.77,192.38,3617221,37.614,38.652,37.154,38.476,18086105,0.0,1.0
TSLA,2016-01-28 00:00:00+00:00,189.7,191.28,182.41,190.79,4592754,37.94,38.256,36.482,38.158,22963770,0.0,1.0
TSLA,2016-01-29 00:00:00+00:00,191.2,193.74,188.08,189.95,2852289,38.24,38.748,37.616,37.99,14261445,0.0,1.0
TSLA,2016-02-01 00:00:00+00:00,196.94,199.52,182.75,188.76,5297639,39.388,39.904,36.55,37.752,26488195,0.0,1.0
TSLA,2016-02-02 00:00:00+00:00,182.78,193.12,180.23,192.42,5773637,36.556,38.624,36.046,38.484,28868185,0.0,1.0
TSLA,2016-02-03 00:00:00+00:00,173.48,183.94,170.18,183.59,7931362,34.696,36.788,34.036,36.718,39656810,0.0,1.0
TSLA,2016-02-04 00:00:00+00:00,175.33,175.98,166.99,170.7,4385366,35.066,35.196,33.398,34.14,21926830,0.0,1.0
TSLA,2016-02-05 00:00:00+00:00,162.6,173.0,157.7442,171.3,9437591,32.52,34.6,31.54884,34.26,47187955,0.0,1.0
TSLA,2016-02-08 00:00:00+00:00,147.99,157.15,146.0,157.105,9312988,29.598,31.43,29.2,31.421,46564940,0.0,1.0
TSLA,2016-02-09 00:00:00+00:00,148.25,159.79,141.05,142.32,8651648,29.65,31.958,28.21,28.464,43258240,0.0,1.0
